,Date_time_Merge_hour,Current_mag,Easting (cm/sec),Northing (cm/sec),Minutes,Seconds,Date_time_R
1,11/20/2011 13:00,7.712733744,-3.678,-1.354,10.8,32,11/20/2011 13:11
2,11/20/2011 14:00,1.711170057,1.253333333,-0.853333333,16,13,11/20/2011 13:56
3,11/20/2011 15:00,2.024801952,1.08,-1.43,25,30,11/20/2011 14:55
4,11/20/2011 16:00,3.567305606,-1.413333333,-3.036666667,19,28,11/20/2011 15:59
5,11/20/2011 17:00,NA,NA,NA,NA,NA,NA
6,11/20/2011 18:00,3.67763511,-2.65,-2.55,22,32,11/20/2011 18:22
7,11/20/2011 19:00,4.19501794,-1.963333333,-3.69,33.33333333,25.33333333,11/20/2011 18:53
8,11/20/2011 20:00,3.337729577,-0.115,-3.2675,32.25,26.25,11/20/2011 20:02
9,11/20/2011 21:00,3.677745272,0.453333333,-3.64,31,30.33333333,11/20/2011 21:11
10,11/20/2011 22:00,4.05984348,0.426666667,-4.03,27.33333333,25.33333333,11/20/2011 22:07
11,11/20/2011 23:00,4.07784115,0.59,-4.023333333,43.66666667,24.33333333,11/20/2011 23:04
12,11/21/2011 0:00,3.583818384,-0.53,-3.48,19.66666667,41,11/21/2011 0:00
13,11/21/2011 1:00,3.531788797,-1.326666667,-3.25,20.66666667,44,11/21/2011 1:01
14,11/21/2011 2:00,4.247904856,-1.773333333,-3.853333333,17.33333333,19.66666667,11/21/2011 1:57
15,11/21/2011 3:00,3.543173706,-2.636666667,-2.226666667,33.66666667,17,11/21/2011 2:53
16,11/21/2011 4:00,3.142174419,-3.136666667,-0.143333333,29.66666667,36,11/21/2011 3:50
17,11/21/2011 5:00,4.79417889,-4.3175,-1.875,28.5,38.5,11/21/2011 4:59
18,11/21/2011 6:00,5.034157678,-4.216666667,-2.7,27.33333333,36.66666667,11/21/2011 6:07
19,11/21/2011 7:00,4.682130186,-3.39,-3.133333333,23.66666667,31.33333333,11/21/2011 7:04
20,11/21/2011 8:00,4.169459593,-2.386666667,-3.376666667,40,25.66666667,11/21/2011 8:00
21,11/21/2011 9:00,4.778096994,-1.916666667,-4.376666667,36.33333333,20.66666667,11/21/2011 8:56
22,11/21/2011 10:00,3.869436648,0.78,-3.4875,35,34.25,11/21/2011 10:05
23,11/21/2011 11:00,2.219835819,1.94,-0.813333333,33.66666667,45,11/21/2011 11:14
24,11/21/2011 12:00,3.005216488,2.825,-0.86,30,31.5,11/21/2011 12:00
25,11/21/2011 13:00,3.194086908,2.916666667,-1.023333333,26.33333333,18.66666667,11/21/2011 12:46
26,11/21/2011 14:00,2.772643758,2.2725,-1.585,25,27,11/21/2011 13:55
27,11/21/2011 15:00,2.83789835,0.313333333,-2.636666667,23.66666667,37.33333333,11/21/2011 15:04
28,11/21/2011 16:00,3.794132813,-2.066666667,-3.14,20,32.33333333,11/21/2011 16:00
29,11/21/2011 17:00,3.726614269,-2.886666667,-2.336666667,36.33333333,28.66666667,11/21/2011 16:56
30,11/21/2011 18:00,3.192779733,-2.4,-2.026666667,32.66666667,23.66666667,11/21/2011 17:53
31,11/21/2011 19:00,3.612217279,-2.4,-2.69,31.5,22,11/21/2011 19:01
32,11/21/2011 20:00,4.175846419,-1.363333333,-3.94,30.33333333,20.66666667,11/21/2011 20:10
33,11/21/2011 21:00,4.886215457,-0.886666667,-4.703333333,26.33333333,37,11/21/2011 21:06
34,11/21/2011 22:00,4.506381968,0.09,-4.336666667,42.66666667,35,11/21/2011 22:03
35,11/21/2011 23:00,3.342840222,0.846666667,-3.23,39,29.66666667,11/21/2011 22:59
36,11/22/2011 0:00,2.578712055,1.013333333,-2.37,20,31,11/22/2011 0:00
37,11/22/2011 1:00,3.310123628,0.556666667,-3.146666667,16.33333333,30.66666667,11/22/2011 0:56
