usec,rovCtdDtg,rovCtdDtgFlag,vehicle,depth,depthFlag,temper,temperFlag,salin,salinFlag,oxyg,oxygFlag,light,lightFlag,sound,soundFlag,sigmatheta,sigmathetaFlag,lat,latFlag,lon,lonFlag
1371513600,06/18/2013 00:00:00,2,docr,2983.36,2,1.648,2,34.665,2,2.424,2,84.89,2,1506.644,2,27.7468,2,35.144854,2,-122.950346,2
1371513615,06/18/2013 00:00:15,2,docr,2971.32,2,1.65,2,34.665,2,2.42,2,84.87,2,1506.443,2,27.7465,2,35.1448632,2,-122.95027653,2
1371513630,06/18/2013 00:00:30,2,docr,2961.53,2,1.652,2,34.665,2,2.415,2,84.89,2,1506.281,2,27.7463,2,35.144883,2,-122.95028093,2
1371513645,06/18/2013 00:00:45,2,docr,2950.96,2,1.654,2,34.665,2,2.412,2,84.88,2,1506.106,2,27.7461,2,35.144891,2,-122.950334,2
1371513660,06/18/2013 00:01:00,2,docr,2940.48,2,1.659,2,34.664,2,2.405,2,84.89,2,1505.944,2,27.7449,2,35.144863,2,-122.95033213,2
1371513675,06/18/2013 00:01:15,2,docr,2930.11,2,1.665,2,34.664,2,2.396,2,84.89,2,1505.789,2,27.7444,2,35.14483753,2,-122.95032306,2
1371513690,06/18/2013 00:01:30,2,docr,2919.83,2,1.668,2,34.664,2,2.387,2,84.88,2,1505.623,2,27.7441,2,35.14485,2,-122.950268,2
1371513705,06/18/2013 00:01:45,2,docr,2910.82,2,1.671,2,34.663,2,2.379,2,84.88,2,1505.478,2,27.743,2,35.14487006,2,-122.95025933,2
1371513720,06/18/2013 00:02:00,2,docr,2903.67,2,1.672,2,34.663,2,2.376,2,84.88,2,1505.358,2,27.7429,2,35.14488526,2,-122.95025326,2
1371513735,06/18/2013 00:02:15,2,docr,2896.43,2,1.676,2,34.663,2,2.37,2,84.88,2,1505.249,2,27.7426,2,35.144901,2,-122.950239,2
1371513750,06/18/2013 00:02:30,2,docr,2888.69,2,1.679,2,34.663,2,2.365,2,84.89,2,1505.128,2,27.7423,2,35.14488486,2,-122.95022886,2
1371513765,06/18/2013 00:02:45,2,docr,2880.66,2,1.681,2,34.662,2,2.359,2,84.88,2,1504.995,2,27.7413,2,35.14486866,2,-122.950228,2
1371513780,06/18/2013 00:03:00,2,docr,2872.44,2,1.683,2,34.662,2,2.356,2,84.88,2,1504.861,2,27.7411,2,35.144821,2,-122.950267,2
1371513795,06/18/2013 00:03:15,2,docr,2864.31,2,1.687,2,34.662,2,2.354,2,84.88,2,1504.737,2,27.7408,2,35.144868,2,-122.95028164,2
1371513810,06/18/2013 00:03:30,2,docr,2855.79,2,1.691,2,34.662,2,2.346,2,84.88,2,1504.606,2,27.7404,2,35.144905,2,-122.95029716,2
1371513825,06/18/2013 00:03:45,2,docr,2847.37,2,1.693,2,34.662,2,2.343,2,84.87,2,1504.468,2,27.7402,2,35.1449012,2,-122.9503548,2
1371513840,06/18/2013 00:04:00,2,docr,2839.04,2,1.697,2,34.662,2,2.341,2,84.86,2,1504.341,2,27.7399,2,35.14489769,2,-122.95034715,2
1371513855,06/18/2013 00:04:15,2,docr,2830.52,2,1.699,2,34.661,2,2.342,2,84.85,2,1504.2,2,27.7389,2,35.14489,2,-122.95033,2
1371513870,06/18/2013 00:04:30,2,docr,2821.8,2,1.7,2,34.661,2,2.333,2,84.85,2,1504.053,2,27.7387,2,35.14487509,2,-122.95033672,2
1371513885,06/18/2013 00:04:45,2,docr,2812.69,2,1.7,2,34.66,2,2.323,2,84.87,2,1503.893,2,27.7379,2,35.1449355,2,-122.950335,2
1371513900,06/18/2013 00:05:00,2,docr,2804.27,2,1.701,2,34.66,2,2.315,2,84.88,2,1503.751,2,27.7377,2,35.144996,2,-122.950333,2
1371513915,06/18/2013 00:05:15,2,docr,2794.47,2,1.703,2,34.66,2,2.31,2,84.88,2,1503.59,2,27.7375,2,35.14499692,2,-122.95040776,2
1371513930,06/18/2013 00:05:30,2,docr,2785.46,2,1.707,2,34.66,2,2.304,2,84.87,2,1503.45,2,27.7372,2,35.145023,2,-122.95038063,2
1371513945,06/18/2013 00:05:45,2,docr,2776.55,2,1.709,2,34.66,2,2.296,2,84.87,2,1503.304,2,27.737,2,35.145057,2,-122.950338,2
1371513960,06/18/2013 00:06:00,2,docr,2767.63,2,1.711,2,34.66,2,2.292,2,84.87,2,1503.158,2,27.7368,2,35.14504425,2,-122.95036275,2
1371513975,06/18/2013 00:06:15,2,docr,2758.91,2,1.713,2,34.659,2,2.29,2,84.87,2,1503.014,2,27.7358,2,35.14501354,2,-122.95028263,2
1371513990,06/18/2013 00:06:30,2,docr,2750.19,2,1.716,2,34.659,2,2.285,2,84.86,2,1502.876,2,27.7355,2,35.144942,2,-122.950124,2
1371514005,06/18/2013 00:06:45,2,docr,2741.47,2,1.719,2,34.659,2,2.278,2,84.87,2,1502.737,2,27.7352,2,35.14490233,2,-122.95024316,2
1371514020,06/18/2013 00:07:00,2,docr,2732.46,2,1.721,2,34.658,2,2.273,2,84.86,2,1502.588,2,27.7342,2,35.14487607,2,-122.95028538,2
1371514035,06/18/2013 00:07:15,2,docr,2723.83,2,1.723,2,34.658,2,2.268,2,84.86,2,1502.447,2,27.734,2,35.144821,2,-122.950319,2
1371514050,06/18/2013 00:07:30,2,docr,2715.41,2,1.724,2,34.658,2,2.263,2,84.87,2,1502.305,2,27.7339,2,35.144777,2,-122.95032525,2
1371514065,06/18/2013 00:07:45,2,docr,2706.39,2,1.726,2,34.658,2,2.26,2,84.85,2,1502.158,2,27.7337,2,35.14475846,2,-122.95033169,2
1371514080,06/18/2013 00:08:00,2,docr,2697.67,2,1.728,2,34.657,2,2.255,2,84.86,2,1502.014,2,27.7326,2,35.144773,2,-122.950361,2
1371514095,06/18/2013 00:08:15,2,docr,2688.95,2,1.729,2,34.657,2,2.251,2,84.87,2,1501.867,2,27.7325,2,35.14481284,2,-122.95036284,2
1371514110,06/18/2013 00:08:30,2,docr,2679.83,2,1.731,2,34.657,2,2.245,2,84.87,2,1501.718,2,27.7323,2,35.14481946,2,-122.950375,2
1371514125,06/18/2013 00:08:45,2,docr,2671.3,2,1.732,2,34.657,2,2.242,2,84.87,2,1501.574,2,27.7322,2,35.14479407,2,-122.95041223,2
1371514140,06/18/2013 00:09:00,2,docr,2661.21,2,1.735,2,34.657,2,2.236,2,84.87,2,1501.412,2,27.7319,2,35.144795,2,-122.95041006,2
1371514155,06/18/2013 00:09:15,2,docr,2651.6,2,1.741,2,34.656,2,2.231,2,84.86,2,1501.271,2,27.7306,2,35.14480261,2,-122.95041415,2
1371514170,06/18/2013 00:09:30,2,docr,2642,2,1.745,2,34.656,2,2.226,2,84.85,2,1501.122,2,27.7302,2,35.14474842,2,-122.9503985,2
