usec	year	day	time	pres	temp	cond	o2curr	o2temp	o2delta	transvolt	lat	lon	depth	salin	theta	oxyg	light	beac	sound	sigmat	sigmatheta
1165949985	2006	346	18:59:45	2	13.655	3.95938	3.6697			4.2195			2	33.122	13.655	5.53	80.8	0.854	1500.2	24.808	24.808
1165950000	2006	346	19:00:00	4.8	13.66	3.95953	3.6645	0		4.2199	36.393147	-122.24243	4.8	33.118	13.659	5.52	80.8	0.854	1500.2	24.804	24.804
1165950015	2006	346	19:00:15	8.5	13.629	3.95722	3.6616	0		4.0148	35.165733	-123.011791	8.4	33.122	13.627	5.52	76.8	1.056	1500.2	24.813	24.813
1165950030	2006	346	19:00:30	11.1	13.568	3.95232	3.6596	0		4.2119	35.165714	-123.011795	11	33.127	13.567	5.52	80.6	0.862	1500	24.829	24.83
1165950045	2006	346	19:00:45	12.7	13.539	3.94984	3.6491	0		4.2092	35.165713	-123.011802	12.6	33.129	13.537	5.51	80.6	0.864	1500	24.837	24.837
1165950060	2006	346	19:01:00	13.3	13.538	3.94968	3.6502	0		4.2098	35.165721	-123.011782	13.2	33.128	13.536	5.51	80.6	0.864	1500	24.836	24.836
1165950075	2006	346	19:01:15	14	13.536	3.94953	3.6471	0		4.2118	35.165717	-123.011775	13.9	33.129	13.534	5.51	80.6	0.862	1500	24.837	24.837
1165950090	2006	346	19:01:30	16.5	13.519	3.9481	3.6425	0		4.2105	35.165714	-123.011779	16.4	33.129	13.517	5.5	80.6	0.863	1500	24.84	24.841
1165950105	2006	346	19:01:45	16.8	13.51	3.94731	3.6381	0		4.1907	35.16572	-123.011764	16.7	33.129	13.508	5.49	80.2	0.882	1499.9	24.842	24.843
1165950120	2006	346	19:02:00	19.8	13.503	3.94663	3.64	0		4.2119	35.165731	-123.011733	19.7	33.127	13.5	5.5	80.6	0.862	1500	24.843	24.843
1165950135	2006	346	19:02:15	22.1	13.503	3.94667	3.6318	0		4.1832	35.16573	-123.011709	22	33.127	13.5	5.49	80.1	0.889	1500	24.842	24.843
1165950150	2006	346	19:02:30	24.6	13.501	3.94641	3.6276	0		4.2007	35.165697	-123.0117	24.4	33.125	13.498	5.48	80.4	0.873	1500	24.841	24.842
1165950165	2006	346	19:02:45	26	13.502	3.94652	3.6249	0		4.2134	35.165689	-123.011683	25.8	33.125	13.498	5.48	80.6	0.86	1500.1	24.841	24.842
1165950180	2006	346	19:03:00	26.3	13.5	3.94635	3.6264	0		4.2068	35.1657	-123.01168	26.1	33.125	13.497	5.48	80.5	0.867	1500.1	24.841	24.842
1165950195	2006	346	19:03:15	29.3	13.497	3.94622	3.6288	0		4.2122	35.165721	-123.011669	29.1	33.125	13.493	5.49	80.6	0.861	1500.1	24.842	24.843
1165950210	2006	346	19:03:30	31.1	13.492	3.94581	3.6218	0		4.2101	35.165722	-123.01167	30.9	33.125	13.487	5.48	80.6	0.863	1500.1	24.843	24.844
1165950225	2006	346	19:03:45	32.6	13.475	3.94433	3.6122	0		4.2086	35.165722	-123.011664	32.4	33.125	13.471	5.46	80.6	0.865	1500.1	24.846	24.847
1165950240	2006	346	19:04:00	33.8	13.462	3.94319	3.6021	0		4.2098	35.165689	-123.011684	33.6	33.125	13.458	5.45	80.6	0.864	1500.1	24.849	24.85
1165950255	2006	346	19:04:15	34.5	13.438	3.94162	3.5978	0		4.2106	35.165643	-123.011699	34.2	33.131	13.434	5.44	80.6	0.863	1500	24.858	24.859
1165950270	2006	346	19:04:30	36.8	13.235	3.92379	3.5075	0		4.2184	35.165636	-123.0117	36.6	33.139	13.23	5.3	80.7	0.856	1499.4	24.906	24.907
1165950285	2006	346	19:04:45	40	13.026	3.905	3.3917	0		4.2267	35.165629	-123.011683	39.7	33.143	13.021	5.12	80.9	0.847	1498.7	24.95	24.951
1165950300	2006	346	19:05:00	38.6	13.122	3.91302	3.3945	0		4.2232	35.165624	-123.011674	38.3	33.136	13.117	5.11	80.8	0.851	1499	24.925	24.926
1165950315	2006	346	19:05:15	37.8	13.162	3.91661	3.4382	0		4.2206	35.165616	-123.011671	37.5	33.135	13.156	5.19	80.8	0.853	1499.1	24.917	24.918
1165950330	2006	346	19:05:30	38.3	13.124	3.9131	3.4303	0		4.2229	35.16561	-123.011664	38.1	33.135	13.119	5.18	80.8	0.851	1499	24.924	24.925
1165950345	2006	346	19:05:45	43.8	12.658	3.87171	3.2461	0		4.2378	35.165606	-123.011672	43.5	33.148	12.652	4.89	81.1	0.837	1497.6	25.026	25.027
1165950360	2006	346	19:06:00	49.1	11.807	3.7977	2.8542	0		4.2532	35.16561	-123.011676	48.8	33.186	11.801	4.25	81.4	0.822	1494.8	25.217	25.218
1165950375	2006	346	19:06:15	53.1	11.172	3.74534	2.5928	0		4.2684	35.165611	-123.011676	52.7	33.242	11.165	3.81	81.7	0.808	1492.7	25.376	25.377
1165950390	2006	346	19:06:30	55.1	11.073	3.73751	2.5767	0		4.2728	35.165717	-123.011921	54.7	33.252	11.066	3.79	81.8	0.804	1492.4	25.402	25.403
1165950405	2006	346	19:06:45	58.6	10.987	3.73195	2.5945	0		4.275	35.165731	-123.01194	58.2	33.274	10.98	3.83	81.8	0.801	1492.2	25.434	25.435
1165950420	2006	346	19:07:00	61.5	10.918	3.72824	2.5759	0		4.276	35.165732	-123.011948	61.1	33.298	10.91	3.81	81.9	0.801	1492	25.466	25.467
1165950435	2006	346	19:07:15	62.7	10.878	3.72604	2.5436	0		4.2753	35.165733	-123.011955	62.3	33.312	10.87	3.75	81.8	0.801	1491.9	25.483	25.485
1165950450	2006	346	19:07:30	63.4	10.861	3.72526	2.5221	0		4.2757	35.16576	-123.011667	63	33.32	10.853	3.71	81.9	0.801	1491.9	25.492	25.494
1165950465	2006	346	19:07:45	64.1	10.853	3.72485	2.5144	0		4.2758	35.165795	-123.011542	63.7	33.322	10.845	3.7	81.9	0.801	1491.9	25.496	25.497
1165950480	2006	346	19:08:00	65.7	10.853	3.72498	2.5081	0		4.2756	35.165836	-123.011516	65.2	33.323	10.845	3.68	81.9	0.801	1491.9	25.496	25.498
1165950495	2006	346	19:08:15	68.3	10.828	3.72388	2.5006	0		4.2764	35.165871	-123.011618	67.8	33.334	10.82	3.67	81.9	0.8	1491.9	25.509	25.51
1165950510	2006	346	19:08:30	70.8	10.743	3.71686	2.4887	0		4.2763	35.165853	-123.011627	70.2	33.34	10.735	3.66	81.9	0.8	1491.6	25.529	25.53
1165950525	2006	346	19:08:45	72.1	10.614	3.70612	2.4583	0		4.2768	35.165832	-123.01167	71.6	33.35	10.605	3.61	81.9	0.8	1491.2	25.559	25.561
1165950540	2006	346	19:09:00	71.2	10.604	3.70405	2.4447	0		4.2768	35.165802	-123.011688	70.7	33.339	10.596	3.58	81.9	0.8	1491.1	25.552	25.554
1165950555	2006	346	19:09:15	66.9	10.785	3.71819	2.4833	0		4.276	35.165775	-123.01172	66.4	33.317	10.777	3.64	81.9	0.801	1491.7	25.504	25.505
1165950570	2006	346	19:09:30	61.2	10.84	3.72352	2.5034	0		4.2756	35.165793	-123.011733	60.7	33.322	10.833	3.67	81.9	0.801	1491.8	25.498	25.499
1165950585	2006	346	19:09:45	56.1	10.886	3.7261	2.5312	0		4.2752	35.165779	-123.011743	55.7	33.308	10.88	3.72	81.8	0.801	1491.8	25.479	25.48
1165950600	2006	346	19:10:00	52.1	11.042	3.73277	2.5629	0		4.2712	35.165758	-123.011743	51.7	33.234	11.036	3.77	81.8	0.805	1492.2	25.394	25.395
1165950615	2006	346	19:10:15	46.3	11.71	3.76546	2.6367	0		4.2517	35.165734	-123.011724	46	32.96	11.704	3.86	81.4	0.824	1494.1	25.06	25.061
1165950630	2006	346	19:10:30	42.9	12.158	3.82938	2.8915	0		4.2428	35.165717	-123.011705	42.6	33.184	12.153	4.29	81.2	0.832	1495.9	25.149	25.15
1165950645	2006	346	19:10:45	44.3	12.624	3.86936	3.1527	0		4.2371	35.165718	-123.01171	44	33.155	12.618	4.72	81.1	0.838	1497.5	25.038	25.039
1165950660	2006	346	19:11:00	43.4	12.693	3.87595	3.1773	0		4.2363	35.165697	-123.011808	43.1	33.158	12.687	4.76	81.1	0.838	1497.7	25.027	25.028
1165950675	2006	346	19:11:15	41.8	12.757	3.88167	3.2198	0		4.2335	35.165692	-123.011879	41.5	33.157	12.751	4.83	81	0.841	1497.9	25.013	25.015
1165950690	2006	346	19:11:30	42.4	12.754	3.88008	3.2207	0		4.2364	35.16571	-123.011916	42.1	33.144	12.748	4.84	81.1	0.838	1497.9	25.004	25.005
1165950705	2006	346	19:11:45	42.6	12.741	3.87991	3.2195	0		4.2359	35.165693	-123.011908	42.3	33.153	12.736	4.83	81.1	0.839	1497.8	25.014	25.015
1165950720	2006	346	19:12:00	42.1	12.798	3.88583	3.2451	0		4.2341	35.165695	-123.011881	41.8	33.16	12.793	4.88	81	0.84	1498	25.008	25.009
1165950735	2006	346	19:12:15	42.1	12.845	3.88933	3.2697	0		4.2333	35.165705	-123.01182	41.8	33.152	12.84	4.92	81	0.841	1498.2	24.993	24.994
1165950750	2006	346	19:12:30	42.4	12.838	3.8883	3.2718	0		4.2333	35.165705	-123.01183	42.1	33.148	12.833	4.92	81	0.841	1498.1	24.991	24.992
1165950765	2006	346	19:12:45	42.4	12.858	3.88984	3.2804	0		4.2325	35.165709	-123.011853	42.1	33.145	12.853	4.93	81	0.842	1498.2	24.985	24.986
1165950780	2006	346	19:13:00	42.3	12.899	3.89313	3.2997	0		4.2317	35.165705	-123.011902	42	33.141	12.893	4.97	81	0.843	1498.3	24.974	24.975
