usec,year,day,time,pres,temp,cond,o2curr,o2temp,o2delta,transvolt,lat,lon,depth,salin,theta,oxyg,light,beac,sound,sigmat,sigmatheta
001190419200,2007,265,00:00:00, 725.4, 4.835,3.29273,0.5626, 0.00,,4.3396,35.168518,-123.018681, 718.9,34.186, 4.777, 0.25, 88.1,0.508,1480.9,27.049,27.055
001190419215,2007,265,00:00:15, 719.5, 4.883,3.29713,0.5626, 0.00,,4.3394,35.168518,-123.018691, 713.1,34.190, 4.826, 0.25, 88.1,0.508,1481.0,27.047,27.053
001190419230,2007,265,00:00:30, 712.0, 4.910,3.29896,0.5623, 0.00,,4.3392,35.168528,-123.018699, 705.7,34.187, 4.853, 0.25, 88.1,0.509,1481.0,27.041,27.048
001190419245,2007,265,00:00:45, 704.9, 4.936,3.30072,0.5620, 0.00,,4.3387,35.168547,-123.018698, 698.6,34.185, 4.880, 0.25, 88.1,0.509,1481.0,27.036,27.043
001190419260,2007,265,00:01:00, 697.4, 4.951,3.30141,0.5620, 0.00,,4.3386,35.168380,-123.018740, 691.2,34.181, 4.895, 0.25, 88.0,0.509,1480.9,27.032,27.038
001190419275,2007,265,00:01:15, 689.8, 4.987,3.30405,0.5620, 0.00,,4.3384,35.168428,-123.018729, 683.7,34.179, 4.931, 0.24, 88.0,0.509,1481.0,27.026,27.032
001190419290,2007,265,00:01:30, 682.9, 5.033,3.30724,0.5619, 0.00,,4.3387,35.168427,-123.018698, 676.8,34.172, 4.978, 0.24, 88.1,0.509,1481.0,27.015,27.022
001190419305,2007,265,00:01:45, 675.1, 5.070,3.30981,0.5620, 0.00,,4.3387,35.168427,-123.018697, 669.1,34.167, 5.016, 0.24, 88.1,0.509,1481.0,27.007,27.013
001190419320,2007,265,00:02:00, 667.1, 5.095,3.31180,0.5622, 0.00,,4.3386,35.168494,-123.018553, 661.2,34.169, 5.041, 0.24, 88.0,0.509,1481.0,27.005,27.012
001190419335,2007,265,00:02:15, 659.3, 5.127,3.31369,0.5625, 0.00,,4.3389,35.168518,-123.018509, 653.5,34.162, 5.074, 0.24, 88.1,0.509,1481.0,26.996,27.002
001190419350,2007,265,00:02:30, 651.5, 5.153,3.31507,0.5631, 0.00,,4.3392,35.168534,-123.018543, 645.8,34.155, 5.100, 0.25, 88.1,0.509,1481.0,26.988,26.994
001190419365,2007,265,00:02:45, 643.5, 5.186,3.31773,0.5635, 0.00,,4.3391,35.168522,-123.018557, 637.8,34.156, 5.134, 0.25, 88.1,0.509,1481.0,26.984,26.991
001190419380,2007,265,00:03:00, 635.1, 5.217,3.31961,0.5648, 0.00,,4.3385,35.168504,-123.018571, 629.6,34.150, 5.165, 0.25, 88.0,0.509,1481.0,26.976,26.982
001190419395,2007,265,00:03:15, 626.9, 5.218,3.31770,0.5684, 0.00,,4.3391,35.168518,-123.018575, 621.4,34.131, 5.167, 0.26, 88.1,0.509,1480.8,26.961,26.967
001190419410,2007,265,00:03:30, 619.0, 5.252,3.31989,0.5721, 0.00,,4.3388,35.168518,-123.018572, 613.6,34.126, 5.201, 0.28, 88.1,0.509,1480.8,26.953,26.959
001190419425,2007,265,00:03:45, 611.1, 5.358,3.32823,0.5728, 0.00,,4.3283,35.168488,-123.018578, 605.8,34.118, 5.308, 0.28, 87.8,0.519,1481.1,26.934,26.940
001190419440,2007,265,00:04:00, 603.4, 5.413,3.33304,0.5729, 0.00,,4.3381,35.168488,-123.018578, 598.2,34.121, 5.363, 0.28, 88.0,0.510,1481.2,26.930,26.936
001190419455,2007,265,00:04:15, 595.8, 5.502,3.34108,0.5724, 0.00,,4.3379,35.168490,-123.018584, 590.6,34.126, 5.453, 0.27, 88.0,0.510,1481.4,26.923,26.929
001190419470,2007,265,00:04:30, 587.8, 5.567,3.34725,0.5720, 0.00,,4.3373,35.168518,-123.018609, 582.7,34.134, 5.518, 0.27, 88.0,0.510,1481.6,26.922,26.928
001190419485,2007,265,00:04:45, 579.8, 5.602,3.34977,0.5729, 0.00,,4.3375,35.168512,-123.018631, 574.8,34.131, 5.553, 0.27, 88.0,0.510,1481.6,26.916,26.921
