usec,rovCtdDtg,rovCtdDtgFlag,vehicle,depth,depthFlag,temper,temperFlag,salin,salinFlag,oxyg,oxygFlag,light,lightFlag,sound,soundFlag,sigmatheta,sigmathetaFlag,lat,latFlag,lon,lonFlag
1321660800,11/19/2011 00:00:00,2,docr,3983.1,2,1.494,2,34.682,2,2.902,2,87.21,2,1523.587,2,27.7784,2,35.09806,2,-123.089512,2
1321660815,11/19/2011 00:00:15,2,docr,3983.49,2,1.494,2,34.682,2,2.903,2,87.22,2,1523.594,2,27.7784,2,35.098014,2,-123.089521,2
1321660830,11/19/2011 00:00:30,2,docr,3983.3,2,1.494,2,34.682,2,2.903,2,87.22,2,1523.591,2,27.7784,2,35.09790506,2,-123.0895138,2
1321660845,11/19/2011 00:00:45,2,docr,3983.49,2,1.494,2,34.682,2,2.902,2,87.22,2,1523.594,2,27.7784,2,35.09782133,2,-123.08948966,2
1321660860,11/19/2011 00:01:00,2,docr,3983.39,2,1.494,2,34.682,2,2.901,2,87.21,2,1523.592,2,27.7784,2,35.09778,2,-123.089443,2
1321660875,11/19/2011 00:01:15,2,docr,3983.49,2,1.495,2,34.681,2,2.901,2,87.21,2,1523.597,2,27.7775,2,35.09775846,2,-123.0894358,2
1321660890,11/19/2011 00:01:30,2,docr,3983.59,2,1.495,2,34.681,2,2.902,2,87.21,2,1523.599,2,27.7775,2,35.0977146,2,-123.08941826,2
1321660905,11/19/2011 00:01:45,2,docr,3983.39,2,1.494,2,34.682,2,2.902,2,87.21,2,1523.592,2,27.7784,2,35.097616,2,-123.089387,2
1321660920,11/19/2011 00:02:00,2,docr,3983,2,1.494,2,34.682,2,2.901,2,87.21,2,1523.585,2,27.7784,2,35.0975246,2,-123.08936093,2
1321660935,11/19/2011 00:02:15,2,docr,3982.42,2,1.494,2,34.682,2,2.901,2,87.21,2,1523.575,2,27.7784,2,35.0974712,2,-123.0893458,2
1321660950,11/19/2011 00:02:30,2,docr,3982.91,2,1.494,2,34.682,2,2.901,2,87.22,2,1523.584,2,27.7784,2,35.09734893,2,-123.08931673,2
1321660965,11/19/2011 00:02:45,2,docr,3984.76,2,1.496,2,34.682,2,2.901,2,87.21,2,1523.625,2,27.7783,2,35.0973256,2,-123.08926346,2
1321660980,11/19/2011 00:03:00,2,docr,3984.95,2,1.496,2,34.681,2,2.9,2,87.22,2,1523.627,2,27.7775,2,35.09731886,2,-123.08923586,2
1321660995,11/19/2011 00:03:15,2,docr,3984.47,2,1.496,2,34.681,2,2.901,2,87.21,2,1523.619,2,27.7774,2,35.097313,2,-123.089221,2
1321661010,11/19/2011 00:03:30,2,docr,3984.56,2,1.498,2,34.682,2,2.902,2,87.19,2,1523.63,2,27.7781,2,35.09734426,2,-123.08922246,2
1321661025,11/19/2011 00:03:45,2,docr,3984.17,2,1.497,2,34.681,2,2.9,2,87.22,2,1523.618,2,27.7774,2,35.09737926,2,-123.08923513,2
1321661040,11/19/2011 00:04:00,2,docr,3983,2,1.495,2,34.681,2,2.9,2,87.22,2,1523.588,2,27.7775,2,35.097369,2,-123.0892354,2
1321661055,11/19/2011 00:04:15,2,docr,3983.39,2,1.494,2,34.682,2,2.899,2,87.21,2,1523.592,2,27.7784,2,35.09731673,2,-123.0892318,2
1321661070,11/19/2011 00:04:30,2,docr,3984.86,2,1.494,2,34.682,2,2.899,2,87.21,2,1523.618,2,27.7784,2,35.097275,2,-123.089228,2
1321661085,11/19/2011 00:04:45,2,docr,3983.88,2,1.494,2,34.682,2,2.899,2,87.21,2,1523.601,2,27.7784,2,35.0972546,2,-123.0892472,2
1321661100,11/19/2011 00:05:00,2,docr,3983,2,1.495,2,34.682,2,2.9,2,87.21,2,1523.59,2,27.7783,2,35.09721353,2,-123.08922586,2
1321661115,11/19/2011 00:05:15,2,docr,3984.86,2,1.495,2,34.681,2,2.9,2,87.22,2,1523.621,2,27.7775,2,35.097173,2,-123.089193,2
