usec,rovCtdDtg,rovCtdDtgFlag,vehicle,depth,depthFlag,temper,temperFlag,salin,salinFlag,oxyg,oxygFlag,light,lightFlag,sound,soundFlag,sigmatheta,sigmathetaFlag,lat,latFlag,lon,lonFlag
1235692800,02/27/2009 00:00:00,2,docr,3960.4,2,1.492,2,34.646,2,,0,92.33,2,1523.127,2,27.7494,2,35.16372557,2,-123.018033,2
1235692815,02/27/2009 00:00:15,2,docr,3960.59,2,1.492,2,34.646,2,,0,92.32,2,1523.131,2,27.7494,2,35.1637022,2,-123.0180644,2
1235692830,02/27/2009 00:00:30,2,docr,3960.4,2,1.492,2,34.646,2,,0,92.33,2,1523.127,2,27.7494,2,35.16365693,2,-123.01813206,2
1235692845,02/27/2009 00:00:45,2,docr,3960.2,2,1.492,2,34.646,2,,0,92.33,2,1523.124,2,27.7494,2,35.163696,2,-123.01825326,2
1235692860,02/27/2009 00:01:00,2,docr,3959.91,2,1.492,2,34.646,2,,0,92.33,2,1523.119,2,27.7494,2,35.16381113,2,-123.01826533,2
1235692875,02/27/2009 00:01:15,2,docr,3960.69,2,1.492,2,34.646,2,,0,92.31,2,1523.133,2,27.7494,2,35.16381953,2,-123.0182096,2
1235692890,02/27/2009 00:01:30,2,docr,3961.67,2,1.492,2,34.646,2,,0,92.33,2,1523.15,2,27.7494,2,35.16377586,2,-123.0183004,2
1235692905,02/27/2009 00:01:45,2,docr,3961.28,2,1.492,2,34.646,2,,0,92.33,2,1523.143,2,27.7494,2,35.1638408,2,-123.018436,2
1235692920,02/27/2009 00:02:00,2,docr,3961.37,2,1.493,2,34.646,2,,0,92.3,2,1523.149,2,27.7493,2,35.16369273,2,-123.01847633,2
1235692935,02/27/2009 00:02:15,2,docr,3961.96,2,1.492,2,34.646,2,,0,92.32,2,1523.155,2,27.7494,2,35.16364906,2,-123.01850093,2
1235692950,02/27/2009 00:02:30,2,docr,3961.37,2,1.492,2,34.646,2,,0,92.33,2,1523.145,2,27.7494,2,35.1636886,2,-123.01849213,2
1235692965,02/27/2009 00:02:45,2,docr,3960.79,2,1.492,2,34.646,2,,0,92.32,2,1523.134,2,27.7494,2,35.16373833,2,-123.01853213,2
1235692980,02/27/2009 00:03:00,2,docr,3960.69,2,1.492,2,34.646,2,,0,92.32,2,1523.133,2,27.7494,2,35.16365453,2,-123.0186364,2
1235692995,02/27/2009 00:03:15,2,docr,3961.18,2,1.492,2,34.646,2,,0,92.31,2,1523.141,2,27.7494,2,35.16372666,2,-123.01861266,2
1235693010,02/27/2009 00:03:30,2,docr,3961.28,2,1.492,2,34.646,2,,0,92.32,2,1523.143,2,27.7494,2,35.16390413,2,-123.01851893,2
1235693025,02/27/2009 00:03:45,2,docr,3960.98,2,1.492,2,34.646,2,,0,92.29,2,1523.138,2,27.7494,2,35.1638516,2,-123.01850546,2
1235693040,02/27/2009 00:04:00,2,docr,3961.08,2,1.492,2,34.646,2,,0,92.29,2,1523.14,2,27.7494,2,35.163992,2,-123.01847913,2
1235693055,02/27/2009 00:04:15,2,docr,3961.18,2,1.492,2,34.646,2,,0,92.28,2,1523.141,2,27.7494,2,35.16391973,2,-123.018553,2
1235693070,02/27/2009 00:04:30,2,docr,3961.47,2,1.493,2,34.646,2,,0,92.28,2,1523.151,2,27.7493,2,35.16397193,2,-123.01855466,2
