usec,rovCtdDtg,rovCtdDtgFlag,vehicle,depth,depthFlag,temper,temperFlag,salin,salinFlag,oxyg,oxygFlag,light,lightFlag,sound,soundFlag,sigmatheta,sigmathetaFlag,lat,latFlag,lon,lonFlag
1165950000,12/12/2006 19:00:00,2,tibr,4.47,2,13.659,2,33.119,2,5.52,2,80.77,2,1500.213,2,24.8046,2,36.39314746,2,-122.24243013,2
1165950015,12/12/2006 19:00:15,2,tibr,8.34,2,13.63,2,33.122,2,5.52,2,80.76,0,1500.186,2,24.8129,2,35.16573326,2,-123.01179073,2
1165950030,12/12/2006 19:00:30,2,tibr,10.72,2,13.576,2,33.127,2,5.52,2,80.63,2,1500.054,2,24.8278,2,35.16571386,2,-123.0117948,2
1165950045,12/12/2006 19:00:45,2,tibr,12.61,2,13.539,2,33.129,2,5.51,2,80.58,2,1499.965,2,24.8369,2,35.1657126,2,-123.0118018,2
1165950060,12/12/2006 19:01:00,2,tibr,13.1,2,13.539,2,33.128,2,5.51,2,80.56,2,1499.973,2,24.8362,2,35.16572086,2,-123.01178173,2
1165950075,12/12/2006 19:01:15,2,tibr,13.9,2,13.536,2,33.129,2,5.51,2,80.62,2,1499.977,2,24.8376,2,35.165717,2,-123.0117755,2
1165950090,12/12/2006 19:01:30,2,tibr,16.18,2,13.52,2,33.129,2,5.5,2,80.59,2,1499.962,2,24.8408,2,35.16571373,2,-123.0117794,2
1165950105,12/12/2006 19:01:45,2,tibr,16.68,2,13.511,2,33.128,2,5.49,2,80.24,2,1499.94,2,24.8419,2,35.16571986,2,-123.01176413,2
1165950120,12/12/2006 19:02:00,2,tibr,19.36,2,13.503,2,33.128,2,5.5,2,80.58,2,1499.958,2,24.8436,2,35.16573106,2,-123.01173266,2
1165950135,12/12/2006 19:02:15,2,tibr,21.84,2,13.503,2,33.127,2,5.49,2,80.07,2,1499.998,2,24.8429,2,35.1657302,2,-123.0117092,2
1165950150,12/12/2006 19:02:30,2,tibr,24.22,2,13.501,2,33.125,2,5.48,2,80.42,2,1500.029,2,24.8418,2,35.16569733,2,-123.01169966,2
1165950165,12/12/2006 19:02:45,2,tibr,25.81,2,13.502,2,33.125,2,5.48,2,80.63,2,1500.058,2,24.8417,2,35.165689,2,-123.01168293,2
1165950180,12/12/2006 19:03:00,2,tibr,25.91,2,13.5,2,33.125,2,5.48,2,80.52,2,1500.053,2,24.8421,2,35.16570021,2,-123.01167964,2
1165950195,12/12/2006 19:03:15,2,tibr,28.89,2,13.498,2,33.125,2,5.49,2,80.62,2,1500.096,2,24.8426,2,35.16572093,2,-123.0116688,2
1165950210,12/12/2006 19:03:30,2,tibr,30.87,2,13.492,2,33.125,2,5.48,2,80.59,2,1500.11,2,24.8438,2,35.165722,2,-123.0116702,2
1165950225,12/12/2006 19:03:45,2,tibr,32.26,2,13.476,2,33.125,2,5.47,2,80.56,2,1500.08,2,24.8471,2,35.16572246,2,-123.01166373,2
1165950240,12/12/2006 19:04:00,2,tibr,33.55,2,13.462,2,33.125,2,5.45,2,80.58,2,1500.055,2,24.85,2,35.16568866,2,-123.01168393,2
1165950255,12/12/2006 19:04:15,2,tibr,34.15,2,13.444,2,33.129,2,5.45,2,80.59,2,1500.01,2,24.8567,2,35.16564346,2,-123.0116986,2
1165950270,12/12/2006 19:04:30,2,tibr,36.33,2,13.251,2,33.14,2,5.32,2,80.73,2,1499.42,2,24.904,2,35.165636,2,-123.01169966,2
1165950285,12/12/2006 19:04:45,2,tibr,39.6,2,13.041,2,33.143,2,5.13,2,80.9,2,1498.778,2,24.9481,2,35.16562878,2,-123.01168307,2
1165950300,12/12/2006 19:05:00,2,tibr,38.41,2,13.108,2,33.136,2,5.1,2,80.85,2,1498.974,2,24.9294,2,35.16562433,2,-123.01167373,2
1165950315,12/12/2006 19:05:15,2,tibr,37.52,2,13.161,2,33.135,2,5.19,2,80.79,2,1499.134,2,24.9181,2,35.16561613,2,-123.01167113,2
1165950330,12/12/2006 19:05:30,2,tibr,37.82,2,13.138,2,33.135,2,5.18,2,80.82,2,1499.063,2,24.9227,2,35.16560966,2,-123.0116638,2
1165950345,12/12/2006 19:05:45,2,tibr,43.08,2,12.707,2,33.148,2,4.92,2,81.1,2,1497.721,2,25.0175,2,35.16560633,2,-123.01167246,2
