Lat:    34.8333, Lon:  -123.0000, Parameter: z(m)
Depth (m):        NaN
Constituents included: m2  s2  n2  k2  k1  o1  p1  q1  
Time start: 00:00, 11.10.2017 
Time step (min):      60.00
Time Series length (hours):8183
10-Nov-2017 00:00:00     0.2936
10-Nov-2017 01:00:00    -0.0090
10-Nov-2017 02:00:00    -0.3337
10-Nov-2017 03:00:00    -0.6212
10-Nov-2017 04:00:00    -0.8182
10-Nov-2017 05:00:00    -0.8896
10-Nov-2017 06:00:00    -0.8260
10-Nov-2017 07:00:00    -0.6454
10-Nov-2017 08:00:00    -0.3886
10-Nov-2017 09:00:00    -0.1099
10-Nov-2017 10:00:00     0.1358
10-Nov-2017 11:00:00     0.3054
10-Nov-2017 12:00:00     0.3768
10-Nov-2017 13:00:00     0.3532
10-Nov-2017 14:00:00     0.2606
10-Nov-2017 15:00:00     0.1405
10-Nov-2017 16:00:00     0.0386
10-Nov-2017 17:00:00    -0.0077
10-Nov-2017 18:00:00     0.0214
10-Nov-2017 19:00:00     0.1224
10-Nov-2017 20:00:00     0.2693
10-Nov-2017 21:00:00     0.4201
10-Nov-2017 22:00:00     0.5272
10-Nov-2017 23:00:00     0.5502
11-Nov-2017 00:00:00     0.4663
11-Nov-2017 01:00:00     0.2771
11-Nov-2017 02:00:00     0.0098
11-Nov-2017 03:00:00    -0.2886
11-Nov-2017 04:00:00    -0.5609
11-Nov-2017 05:00:00    -0.7534
11-Nov-2017 06:00:00    -0.8274
11-Nov-2017 07:00:00    -0.7688
11-Nov-2017 08:00:00    -0.5912
11-Nov-2017 09:00:00    -0.3328
11-Nov-2017 10:00:00    -0.0475
11-Nov-2017 11:00:00     0.2073
11-Nov-2017 12:00:00     0.3840
11-Nov-2017 13:00:00     0.4554
11-Nov-2017 14:00:00     0.4206
11-Nov-2017 15:00:00     0.3037
11-Nov-2017 16:00:00     0.1476
11-Nov-2017 17:00:00     0.0022
11-Nov-2017 18:00:00    -0.0882
11-Nov-2017 19:00:00    -0.0963
11-Nov-2017 20:00:00    -0.0193
11-Nov-2017 21:00:00     0.1209
11-Nov-2017 22:00:00     0.2831
11-Nov-2017 23:00:00     0.4168
12-Nov-2017 00:00:00     0.4761
12-Nov-2017 01:00:00     0.4315
12-Nov-2017 02:00:00     0.2783
12-Nov-2017 03:00:00     0.0390
12-Nov-2017 04:00:00    -0.2410
12-Nov-2017 05:00:00    -0.5036
12-Nov-2017 06:00:00    -0.6916
12-Nov-2017 07:00:00    -0.7625
12-Nov-2017 08:00:00    -0.6986
12-Nov-2017 09:00:00    -0.5118
12-Nov-2017 10:00:00    -0.2413
12-Nov-2017 11:00:00     0.0555
12-Nov-2017 12:00:00     0.3166
12-Nov-2017 13:00:00     0.4895
12-Nov-2017 14:00:00     0.5435
12-Nov-2017 15:00:00     0.4768
12-Nov-2017 16:00:00     0.3162
12-Nov-2017 17:00:00     0.1100
12-Nov-2017 18:00:00    -0.0845
12-Nov-2017 19:00:00    -0.2154
12-Nov-2017 20:00:00    -0.2492
12-Nov-2017 21:00:00    -0.1795
12-Nov-2017 22:00:00    -0.0284
12-Nov-2017 23:00:00     0.1593
13-Nov-2017 00:00:00     0.3275
13-Nov-2017 01:00:00     0.4235
13-Nov-2017 02:00:00     0.4122
13-Nov-2017 03:00:00     0.2850
13-Nov-2017 04:00:00     0.0639
13-Nov-2017 05:00:00    -0.2041
13-Nov-2017 06:00:00    -0.4572
13-Nov-2017 07:00:00    -0.6344
13-Nov-2017 08:00:00    -0.6906
13-Nov-2017 09:00:00    -0.6077
13-Nov-2017 10:00:00    -0.4002
13-Nov-2017 11:00:00    -0.1117
13-Nov-2017 12:00:00     0.1947
13-Nov-2017 13:00:00     0.4516
13-Nov-2017 14:00:00     0.6034
13-Nov-2017 15:00:00     0.6197
13-Nov-2017 16:00:00     0.5026
13-Nov-2017 17:00:00     0.2854
13-Nov-2017 18:00:00     0.0249
13-Nov-2017 19:00:00    -0.2133
13-Nov-2017 20:00:00    -0.3713
13-Nov-2017 21:00:00    -0.4126
13-Nov-2017 22:00:00    -0.3321
13-Nov-2017 23:00:00    -0.1562
14-Nov-2017 00:00:00     0.0639
14-Nov-2017 01:00:00     0.2651
14-Nov-2017 02:00:00     0.3893
14-Nov-2017 03:00:00     0.3987
14-Nov-2017 04:00:00     0.2852
14-Nov-2017 05:00:00     0.0737
14-Nov-2017 06:00:00    -0.1839
14-Nov-2017 07:00:00    -0.4218
14-Nov-2017 08:00:00    -0.5767
14-Nov-2017 09:00:00    -0.6041
14-Nov-2017 10:00:00    -0.4898
14-Nov-2017 11:00:00    -0.2546
14-Nov-2017 12:00:00     0.0505
14-Nov-2017 13:00:00     0.3563
14-Nov-2017 14:00:00     0.5920
14-Nov-2017 15:00:00     0.7028
14-Nov-2017 16:00:00     0.6632
14-Nov-2017 17:00:00     0.4833
14-Nov-2017 18:00:00     0.2065
14-Nov-2017 19:00:00    -0.1012
14-Nov-2017 20:00:00    -0.3679
14-Nov-2017 21:00:00    -0.5328
14-Nov-2017 22:00:00    -0.5617
14-Nov-2017 23:00:00    -0.4550
15-Nov-2017 00:00:00    -0.2469
15-Nov-2017 01:00:00     0.0036
15-Nov-2017 02:00:00     0.2279
15-Nov-2017 03:00:00     0.3658
15-Nov-2017 04:00:00     0.3810
15-Nov-2017 05:00:00     0.2703
15-Nov-2017 06:00:00     0.0647
15-Nov-2017 07:00:00    -0.1786
15-Nov-2017 08:00:00    -0.3907
15-Nov-2017 09:00:00    -0.5095
15-Nov-2017 10:00:00    -0.4955
