Lat:    34.8333, Lon:  -123.0000, Parameter: U(m^2/s)
Depth (m):        NaN
Constituents included: m2  s2  n2  k2  k1  o1  p1  q1  
Time start: 00:00, 11.10.2017 
Time step (min):      60.00
Time Series length (hours):8183
10-Nov-2017 00:00:00   -10.5843
10-Nov-2017 01:00:00    24.4987
10-Nov-2017 02:00:00    56.2601
10-Nov-2017 03:00:00    78.1368
10-Nov-2017 04:00:00    85.7875
10-Nov-2017 05:00:00    78.0540
10-Nov-2017 06:00:00    57.1565
10-Nov-2017 07:00:00    28.0946
10-Nov-2017 08:00:00    -2.5877
10-Nov-2017 09:00:00   -28.3626
10-Nov-2017 10:00:00   -44.2271
10-Nov-2017 11:00:00   -47.8017
10-Nov-2017 12:00:00   -39.7700
10-Nov-2017 13:00:00   -23.5726
10-Nov-2017 14:00:00    -4.4490
10-Nov-2017 15:00:00    11.9257
10-Nov-2017 16:00:00    20.8696
10-Nov-2017 17:00:00    19.8440
10-Nov-2017 18:00:00     9.0525
10-Nov-2017 19:00:00    -8.6457
10-Nov-2017 20:00:00   -28.4724
10-Nov-2017 21:00:00   -44.9329
10-Nov-2017 22:00:00   -53.1855
10-Nov-2017 23:00:00   -50.2491
11-Nov-2017 00:00:00   -35.7604
11-Nov-2017 01:00:00   -12.1041
11-Nov-2017 02:00:00    16.1099
11-Nov-2017 03:00:00    43.0952
11-Nov-2017 04:00:00    63.2129
11-Nov-2017 05:00:00    72.2585
11-Nov-2017 06:00:00    68.4136
11-Nov-2017 07:00:00    52.6429
11-Nov-2017 08:00:00    28.4501
11-Nov-2017 09:00:00     1.0554
11-Nov-2017 10:00:00   -23.8075
11-Nov-2017 11:00:00   -41.1934
11-Nov-2017 12:00:00   -48.0442
11-Nov-2017 13:00:00   -43.8310
11-Nov-2017 14:00:00   -30.5977
11-Nov-2017 15:00:00   -12.4033
11-Nov-2017 16:00:00     5.6997
11-Nov-2017 17:00:00    18.9052
11-Nov-2017 18:00:00    23.8181
11-Nov-2017 19:00:00    19.2675
11-Nov-2017 20:00:00     6.5780
11-Nov-2017 21:00:00   -10.7640
11-Nov-2017 22:00:00   -27.9707
11-Nov-2017 23:00:00   -40.1339
12-Nov-2017 00:00:00   -43.4472
12-Nov-2017 01:00:00   -36.1757
12-Nov-2017 02:00:00   -19.1394
12-Nov-2017 03:00:00     4.4105
12-Nov-2017 04:00:00    29.5023
12-Nov-2017 05:00:00    50.5799
12-Nov-2017 06:00:00    62.7993
12-Nov-2017 07:00:00    63.1826
12-Nov-2017 08:00:00    51.3513
12-Nov-2017 09:00:00    29.6604
12-Nov-2017 10:00:00     2.6925
12-Nov-2017 11:00:00   -23.7770
12-Nov-2017 12:00:00   -44.1064
12-Nov-2017 13:00:00   -54.0937
12-Nov-2017 14:00:00   -51.9534
12-Nov-2017 15:00:00   -38.7273
12-Nov-2017 16:00:00   -18.0256
12-Nov-2017 17:00:00     4.8463
12-Nov-2017 18:00:00    24.1717
12-Nov-2017 19:00:00    35.2119
12-Nov-2017 20:00:00    35.3657
12-Nov-2017 21:00:00    24.8136
12-Nov-2017 22:00:00     6.4845
12-Nov-2017 23:00:00   -14.6573
13-Nov-2017 00:00:00   -32.8392
13-Nov-2017 01:00:00   -42.9271
13-Nov-2017 02:00:00   -41.7396
13-Nov-2017 03:00:00   -28.9000
13-Nov-2017 04:00:00    -7.0081
13-Nov-2017 05:00:00    18.9263
13-Nov-2017 06:00:00    42.6637
13-Nov-2017 07:00:00    58.2507
13-Nov-2017 08:00:00    61.5024
13-Nov-2017 09:00:00    51.0853
13-Nov-2017 10:00:00    28.9237
13-Nov-2017 11:00:00    -0.1869
13-Nov-2017 12:00:00   -29.6788
13-Nov-2017 13:00:00   -52.7697
13-Nov-2017 14:00:00   -64.1018
13-Nov-2017 15:00:00   -61.0609
13-Nov-2017 16:00:00   -44.4438
13-Nov-2017 17:00:00   -18.2979
13-Nov-2017 18:00:00    11.0404
13-Nov-2017 19:00:00    36.4830
13-Nov-2017 20:00:00    51.9288
13-Nov-2017 21:00:00    53.7770
13-Nov-2017 22:00:00    41.8321
13-Nov-2017 23:00:00    19.3677
14-Nov-2017 00:00:00    -7.6781
14-Nov-2017 01:00:00   -32.1865
14-Nov-2017 02:00:00   -47.6566
14-Nov-2017 03:00:00   -49.8711
14-Nov-2017 04:00:00   -38.0052
14-Nov-2017 05:00:00   -14.8909
14-Nov-2017 06:00:00    13.6440
14-Nov-2017 07:00:00    40.2119
14-Nov-2017 08:00:00    57.7231
14-Nov-2017 09:00:00    61.2053
14-Nov-2017 10:00:00    49.1208
14-Nov-2017 11:00:00    23.8401
14-Nov-2017 12:00:00    -8.8634
14-Nov-2017 13:00:00   -41.1877
14-Nov-2017 14:00:00   -65.2139
14-Nov-2017 15:00:00   -74.8820
14-Nov-2017 16:00:00   -67.5341
14-Nov-2017 17:00:00   -44.6302
14-Nov-2017 18:00:00   -11.4430
14-Nov-2017 19:00:00    24.2045
14-Nov-2017 20:00:00    53.8538
14-Nov-2017 21:00:00    70.5039
14-Nov-2017 22:00:00    70.3581
14-Nov-2017 23:00:00    53.7782
15-Nov-2017 00:00:00    25.2007
15-Nov-2017 01:00:00    -7.9761
15-Nov-2017 02:00:00   -37.2599
15-Nov-2017 03:00:00   -55.2204
15-Nov-2017 04:00:00   -57.3881
15-Nov-2017 05:00:00   -43.4095
15-Nov-2017 06:00:00   -17.1579
15-Nov-2017 07:00:00    14.2388
15-Nov-2017 08:00:00    42.2162
15-Nov-2017 09:00:00    58.9808
15-Nov-2017 10:00:00    59.5460
