Lat:    34.8333, Lon:  -123.0000, Parameter: V(m^2/s)
Depth (m):        NaN
Constituents included: m2  s2  n2  k2  k1  o1  p1  q1  
Time start: 00:00, 11.10.2017 
Time step (min):      60.00
Time Series length (hours):8183
10-Nov-2017 00:00:00    -1.0796
10-Nov-2017 01:00:00   -71.7265
10-Nov-2017 02:00:00  -131.9022
10-Nov-2017 03:00:00  -168.8644
10-Nov-2017 04:00:00  -175.0575
10-Nov-2017 05:00:00  -149.8066
10-Nov-2017 06:00:00   -99.3599
10-Nov-2017 07:00:00   -35.2981
10-Nov-2017 08:00:00    28.2793
10-Nov-2017 09:00:00    78.0947
10-Nov-2017 10:00:00   104.7512
10-Nov-2017 11:00:00   104.7841
10-Nov-2017 12:00:00    81.2375
10-Nov-2017 13:00:00    42.6607
10-Nov-2017 14:00:00     0.8048
10-Nov-2017 15:00:00   -32.3978
10-Nov-2017 16:00:00   -47.8203
10-Nov-2017 17:00:00   -41.3738
10-Nov-2017 18:00:00   -14.9534
10-Nov-2017 19:00:00    24.1104
10-Nov-2017 20:00:00    64.9409
10-Nov-2017 21:00:00    95.8679
10-Nov-2017 22:00:00   107.3661
10-Nov-2017 23:00:00    94.4645
11-Nov-2017 00:00:00    58.0475
11-Nov-2017 01:00:00     4.7387
11-Nov-2017 02:00:00   -54.5953
11-Nov-2017 03:00:00  -107.3606
11-Nov-2017 04:00:00  -142.1635
11-Nov-2017 05:00:00  -151.4569
11-Nov-2017 06:00:00  -133.2787
11-Nov-2017 07:00:00   -91.6807
11-Nov-2017 08:00:00   -35.7555
11-Nov-2017 09:00:00    22.4967
11-Nov-2017 10:00:00    70.9494
11-Nov-2017 11:00:00   100.1214
11-Nov-2017 12:00:00   105.2850
11-Nov-2017 13:00:00    87.4264
11-Nov-2017 14:00:00    52.8443
11-Nov-2017 15:00:00    11.4990
11-Nov-2017 16:00:00   -25.4808
11-Nov-2017 17:00:00   -48.5311
11-Nov-2017 18:00:00   -51.9701
11-Nov-2017 19:00:00   -35.3489
11-Nov-2017 20:00:00    -3.5152
11-Nov-2017 21:00:00    34.6179
11-Nov-2017 22:00:00    68.3011
11-Nov-2017 23:00:00    87.6350
12-Nov-2017 00:00:00    86.0667
12-Nov-2017 01:00:00    62.0920
12-Nov-2017 02:00:00    19.7474
12-Nov-2017 03:00:00   -32.2372
12-Nov-2017 04:00:00   -82.4329
12-Nov-2017 05:00:00  -119.3855
12-Nov-2017 06:00:00  -134.3360
12-Nov-2017 07:00:00  -123.3373
12-Nov-2017 08:00:00   -88.2561
12-Nov-2017 09:00:00   -36.4109
12-Nov-2017 10:00:00    21.0810
12-Nov-2017 11:00:00    71.8636
12-Nov-2017 12:00:00   105.2095
12-Nov-2017 13:00:00   114.5112
12-Nov-2017 14:00:00    98.8033
12-Nov-2017 15:00:00    62.9446
12-Nov-2017 16:00:00    16.4111
12-Nov-2017 17:00:00   -29.0167
12-Nov-2017 18:00:00   -62.1206
12-Nov-2017 19:00:00   -74.9753
12-Nov-2017 20:00:00   -64.8793
12-Nov-2017 21:00:00   -35.0113
12-Nov-2017 22:00:00     6.3587
12-Nov-2017 23:00:00    47.9221
13-Nov-2017 00:00:00    78.1574
13-Nov-2017 01:00:00    88.2415
13-Nov-2017 02:00:00    74.3298
13-Nov-2017 03:00:00    38.6339
13-Nov-2017 04:00:00   -10.9889
13-Nov-2017 05:00:00   -62.8572
13-Nov-2017 06:00:00  -104.2716
13-Nov-2017 07:00:00  -124.6324
13-Nov-2017 08:00:00  -118.1037
13-Nov-2017 09:00:00   -85.1614
13-Nov-2017 10:00:00   -32.6221
13-Nov-2017 11:00:00    27.8783
13-Nov-2017 12:00:00    82.6117
13-Nov-2017 13:00:00   119.0379
13-Nov-2017 14:00:00   128.8433
13-Nov-2017 15:00:00   109.9869
13-Nov-2017 16:00:00    67.2385
13-Nov-2017 17:00:00    11.0571
13-Nov-2017 18:00:00   -44.9343
13-Nov-2017 19:00:00   -87.2709
13-Nov-2017 20:00:00  -105.9524
13-Nov-2017 21:00:00   -96.9153
13-Nov-2017 22:00:00   -63.0487
13-Nov-2017 23:00:00   -13.4846
14-Nov-2017 00:00:00    38.6764
14-Nov-2017 01:00:00    79.6551
14-Nov-2017 02:00:00    98.4848
14-Nov-2017 03:00:00    89.8311
14-Nov-2017 04:00:00    55.4221
14-Nov-2017 05:00:00     3.7112
14-Nov-2017 06:00:00   -52.1686
14-Nov-2017 07:00:00   -97.6669
14-Nov-2017 08:00:00  -120.4928
14-Nov-2017 09:00:00  -113.7845
14-Nov-2017 10:00:00   -77.9664
14-Nov-2017 11:00:00   -20.8039
14-Nov-2017 12:00:00    44.3861
14-Nov-2017 13:00:00   101.9491
14-Nov-2017 14:00:00   137.7458
14-Nov-2017 15:00:00   142.6880
14-Nov-2017 16:00:00   115.0660
14-Nov-2017 17:00:00    61.0675
14-Nov-2017 18:00:00    -6.6622
14-Nov-2017 19:00:00   -72.0849
14-Nov-2017 20:00:00  -119.7065
14-Nov-2017 21:00:00  -138.4090
14-Nov-2017 22:00:00  -124.2165
14-Nov-2017 23:00:00   -81.2901
15-Nov-2017 00:00:00   -20.8873
15-Nov-2017 01:00:00    41.4676
15-Nov-2017 02:00:00    89.9017
15-Nov-2017 03:00:00   112.2184
15-Nov-2017 04:00:00   103.0095
15-Nov-2017 05:00:00    65.0594
15-Nov-2017 06:00:00     8.6681
15-Nov-2017 07:00:00   -50.9506
15-Nov-2017 08:00:00   -97.5545
15-Nov-2017 09:00:00  -118.0608
15-Nov-2017 10:00:00  -105.9754
